,title,abstract,publication_date,doi,authors,source,url,search_string,database
943,International Regimes and Policy Strategies for Climate Change Control,"This paper analyses the link between effectiveness and efficiency of climate change policies and the structure and design of international environmental agreements (IEAs). The structure refers to the set of signatories to an IEA. The design refers to the aggregate abatement target agreed upon in an IEA, the distribution of the abatement burdens among signatories, the policy instruments used to implement abatement targets and possible compensation measures among signatories or between signatories and non-signatories. The paper argues that the design of an IEA has an immediate impact on global welfare and on the welfare of individual countries. Consequently, the design of an IEA affects countries’ decision about whether and which coalition they will join. However, the design of an IEA also affects the effectiveness and efficiency of policy strategies. Therefore, the effectiveness and efficiency of policy strategies are also linked to the structure of IEAs — a link that has been neglected so far in the literature. In order to take a first step to remedy this deficiency, this paper surveys the main results of two strands of the literature (game-theoretic analyses and cost-benefit studies), sketching the ingredients of an integrated analysis and indicating preliminary policy conclusions.",2003-01-01,10.1007/978-94-017-0333-8_1,"['Carraro, Carlo']",Environmental Policy in an International Perspective,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-017-0333-8_1,"(""agr*"") AND (""carbon emissions trade"")",springer
944,The economic and environmental implications of the US repudiation of the kyoto protocol and the subsequent deals in Bonn and Marrakech,"The Economic and Environmental Implications of the US Repudiation of the Kyoto Protocol and the Subsequent Deals in Bonn and Marrakech. — Taking account of sinks credits as agreed in Bonn and Marrakech, this paper illustrates how market power could be exerted in the absence of the US ratification under Annex 1 emissions trading and explores the potential implications of the non-competitive supply behavior for the international market of tradable permits, compliance costs for the remaining Annex 1 countries and the environmental effectiveness. The results show that the US withdrawal from the Kyoto Protocol leads to no real emission reduction in all remaining Annex 1 regions. The results also indicate that the overall compliance costs of all remaining Annex 1 regions in the case of the former Soviet Union (FSU) cooperating with the Eastern European countries could reach as much as two times that in the case of only FSU acting as a monopoly. Moreover, curtailing permit supply by market power substantially increases the overall environmental effectiveness, although to much less extent than in the case of the US ratification. A Monte Carlo simulation supports the robustness of our quantitative findings.",2002-12-01,10.1007/BF02707659,"['Löschel, Andreas', 'Zhang, Zhong Xiang']",Weltwirtschaftliches Archiv,http://link.springer.com/openurl/pdf?id=doi:10.1007/BF02707659,"(""agr*"") AND (""carbon emissions trade"")",springer
945,Carbon Emissions Trading and Equity in International Agreements,"This paper explores the distributional consequences of alternative emissions trading schemes. It is argued that the distributional impact stems from the difference between two social welfare functions: the function which is implicitly maximised in a competitive market equilibrium and the function which is implicitly adopted when a given equity principle is chosen. An integrated assessment model is used to illustrate these findings, by simulating the introduction of various emissions trading schemes for the Kyoto protocol on the reduction of greenhouse emissions. It is shown that (1) changes produced on an equity index by the imposition of emission constraints (by country) may not be significantly higher than those obtained by the subsequent introduction of a market mechanism, and that (2) the various market regimes which could be adopted have quite different distributional implications.",2002-04-01,10.1023/A:1015218031905,"['Bosello, Francesco', 'Roson, Roberto']",Environmental Modeling & Assessment,http://link.springer.com/openurl/pdf?id=doi:10.1023/A:1015218031905,"(""agr*"") AND (""carbon emissions trade"")",springer
946,"Equity, international trade and climate policy","The literature of welfare-maximising greenhouse gas emission reduction strategies pays remarkably little attention to equity. This paper introduces various ways to consider efficiency and equity simultaneously. Lower (higher) discount rates lead to higher (lower) emission reduction. Higher (lower) inequity aversion leads to higher (lower) emission abatement, unless one also considers the negative effects of OECD emission reduction on the exports of developing countries; in that case, the effect of inequity aversion is ambiguous. In the absence of international co-operation, higher (lower) risk aversion leads to lower (higher) emission abatement. With international co-operation, the effect of risk aversion is ambiguous because the higher risk aversion gives more weight to poorer regions and poorer generations. We analyse four ways to introduce compassion in a non-cooperative setting. If observed development aid is a guide, international altruism is small and has little impact on optimal emission control. If countries act as if they 'feel' but not 'physically experience' the climate impact of the most vulnerable country, optimal emission reduction increases, but not substantially so. However, if countries actually have to pay for the damage done, they would prefer to reduce their emissions to much lower levels. Finally, if countries pay as much for emission reduction as other countries suffer from climate change, (that is, if climate policy restores the income distribution to what it would have been without climate change), emissions are rapidly cut to very low levels.",2002-03-01,10.1023/A:1015034429715,"['Kemfert, Claudia', 'Tol, Richard S. J.']",International Environmental Agreements,http://link.springer.com/openurl/pdf?id=doi:10.1023/A:1015034429715,"(""agr*"") AND (""carbon emissions trade"")",springer
947,Competitiveness of biomass‐fueled electrical power plants,"One way countries like the United States can comply with suggested rollbacks in greenhouse gas emissions is by employing power plants fueled with biomass. We examine the competitiveness of biomass‐based fuel for electrical power as opposed to coal using a mathematical programming structure. We consider fueling power plants from milling residues, whole trees, logging residues, switch grass, or short‐rotation woody crops. We do this using a combined model of the agricultural and forestry sectors. We find that the competitiveness of biomass depends in a key way upon the success of research in developing improved production methods for short‐rotation woody crops without great increases in costs.",2000-01-01,10.1023/A:1018929402930,"['McCarl, Bruce A.', 'Adams, Darius M.', 'Alig, Ralph J.', 'Chmelik, John T.']",Annals of Operations Research,http://link.springer.com/openurl/pdf?id=doi:10.1023/A:1018929402930,"(""agr*"") AND (""carbon emissions trade"")",springer
948,Caspian Environment Programme: Prospects for Regime Formation and Effectiveness,"The Caspian Environment Programme (CEP) lies at the heart of an emerging regime for the Caspian Sea. However , it also lies at the crossroads of at least four regions with special conceptions of sovereignty and with divergent experiences with and relationships to global environmental regimes. Therefore , in Central Asia , the success and content of the CEP is rooted in these states’ more general experiences with global accords , independence , and major CEP donors (TACIS , UNDP , UNEP , and GEF). Based on extensive fieldwork , this paper examines the histories and issue linkages that shape international environmental policy in Kazakhstan and Turkmenistan , focusing primarily on CEP , but with reference to global accords. It describes the unique position of the environmental ministry and the structure of comparative influence over environmental decision making in the governing structure of each state , noting the external role of local scientists and NGOs in this process. This paper also examines these states as arenas for the conflicting policy imperatives of the European Union (TACIS) , the United States (and why it ignores CEP) , and UN institutions (GEF , UNDP , and UNEP). Finally , the paper builds on CEP ‘s context in Central Asia , as well as on the text of CEP documents , in order to answer two questions central to CEP regime formation. To what degree will the Central Asian states comply with the emerging Caspian regime? How likely is it that such compliance , or even full compliance , will lead to actual environmental security?",2000-01-01,10.1007/978-94-011-4032-4_23,"['Sievers, Eric W.']",The Caspian Sea: A Quest for Environmental Security,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-011-4032-4_23,"(""agr*"") AND (""carbon emissions trade"")",springer
949,Governing complexity: How can the interplay of multilateral environmental agreements be harnessed for effective international market-based climate policy instruments?,"Major new multilateral environmental agreements (MEAs) have entered into force in 2016, including the Paris Agreement (PA) under the United Nations Framework Convention on Climate Change (UNFCCC) with nationally determined contributions (NDCs) for greenhouse gas (GHG) reduction, the Kigali Amendment (KA) to the Montreal Protocol with a phase-down schedule for HFC production and use in all countries as well as the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA) under the International Civil Aviation Organization, an offset mechanism for GHG emissions. Regarding climate change mitigation, these MEAs are implicitly and explicitly linked to each other. However, the interaction effects between them have not yet been studied. We apply document analysis to assess the following question: how does the MEA interplay impact the scope and effectiveness of international market-based climate policy instruments defined in Article 6 of the PA (Paris Mechanisms) regarding NDC achievement? The Paris Mechanisms can generate early reductions in HFCs that lower the KA baseline and thus the entire phase-down schedule, thereby generating long-term GHG mitigation. Reduction in HFC-23—a large, controversial source of carbon credits under the Kyoto Protocol’s Clean Development Mechanism (CDM)—is now mandated through the KA and thus no longer available for international market mechanisms. If it accepts CDM credits predating 2020, CORSIA will not generate demand for emission units generated by the Article 6 mechanisms and thus not impact their effectiveness. Otherwise, CORSIA demand for Article 6 credits enhances effectiveness, provided that ‘double counting’ of credits is prevented through corresponding adjustments.",2019-12-01,10.1007/s10784-019-09455-6,"['Hoch, Stephan', 'Michaelowa, Axel', 'Espelage, Aglaja', 'Weber, Anne-Kathrin']","International Environmental Agreements: Politics, Law and Economics",http://link.springer.com/openurl/pdf?id=doi:10.1007/s10784-019-09455-6,"(""agr*"") AND (""emissions offset credit"")",springer
950,Global ETS Operation and Their Merits and Demerits,"Since the Kyoto Protocol (KP) was signed in 1997, all parties to the KP have been actively exploring the path to transit to a low-carbon economy, and using a market mechanism to cut Greenhouse Gas (GHG) emissions and save the cost for emission reduction. On January 1, 2005, European Union Emission Trading Scheme (EU ETS) was launched, which was followed by Regional Greenhouse Gas Initiative (RGGI), Midwestern Greenhouse Gas Reduction Accord (MGGRA), Western Climate Action Initiative (WCI), and California Cap-and-Trade.",2019-01-01,10.1007/978-981-13-1888-7_2,"['Zhao, Daiqing', 'Wang, Wenjun', 'Luo, Zhigang']",A Brief Overview of China’s ETS Pilots,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-13-1888-7_2,"(""agr*"") AND (""emissions offset credit"")",springer
951,Carbon Market,This chapter presents the developments in the carbon market. The chapter considers the market development in two phases—Kyoto mechanisms and the market-based measures under the Paris agreement. The issues related to the carbon markets are also briefly presented.,2019-01-01,10.1007/978-1-4471-7468-4_25,"['Bhattacharyya, Subhes C.']",Energy Economics,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-1-4471-7468-4_25,"(""agr*"") AND (""emissions offset credit"")",springer
952,Payments for ecosystem services in relation to US and UK agri-environmental policy: disruptive neoliberal innovation or hybrid policy adaptation?,"This paper draws on ideas about policy innovation and adaptation to assess the extent to which ‘payments for ecosystem services’ (PES) can be seen as a challenge to traditionally more bureaucratic, state-centered ways of paying for the provisioning of environmental goods from agricultural landscapes through agri environmental policy (AEP). Focussing on recent experience in the United States and the UK, the paper documents the extent to which PES is now an established term of reference in AEP research and debate in both countries and postulates that this may usher in a new discourse of environmental provisioning in agriculture. The PES landscape is, however, currently highly fragmented and largely experimental, with ‘PES-like’ approaches being piloted in the field through partnerships between state agencies and localized private and charitable interests. State-supported AEP programs remain substantially intact, and rather than any displacement of state action, there appears to be a more gradual insertion of PES approaches and metrics into standard AEP operating procedures. This institutional stickiness is partly due to the continuing difficulty of agreeing the metrics necessary for measuring outcomes but may also be due to the politically well defended nature of traditional AEP entitlements and associated policy networks. We conclude by suggesting a need for further research to better understand these specifically political constraints and sources of resistance to PES and the ambiguous consequences for institutions, policy networks, rural communities and environment.",2014-09-01,10.1007/s10460-014-9518-2,"['Potter, Clive A.', 'Wolf, Steven A.']",Agriculture and Human Values,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10460-014-9518-2,"(""agr*"") AND (""emissions offset credit"")",springer
953,Avoiding Emissions Reduction: Terrestrial Carbon Sinks,"As noted in previous chapters, it is not easy to reduce carbon dioxide emissions – it is technically difficult and the public is willing to pay too little to do so. As a result, governments have looked to land use, land-use change and forestry (LULUCF) activities as a means of removing CO_2 from the atmosphere and sequestering it in terrestrial carbon sinks. This chapter considers economic issues related to, among others, discounting of carbon, questions pertaining to additionality and leakage, transaction costs, the process of certifying carbon offset credits, governance, and corruption. Available data suggest that, compared to emissions reductions, LULUCF activities are a costly alternative for mitigating climate change, although forestry activities in some regions might constitute an exception. Carbon sequestration and its costs are examined over a number of forest rotations encompassing 240 years; costs and carbon uptake depend on tree species, growth rates, the post-harvest use of fiber, and the discount rate. As shown in this chapter, tree-planting activities can be used to earn certified emission reduction (CER) credits under Kyoto’s Clean Development Mechanism, but the approach used to determine the CER differs from the actual carbon flux. Finally, although currently not permitted under Kyoto, activities that Reduce Emissions from Deforestation and forest Degradation (REDD) are being promoted as eligible CER credits. This effort has gone even further, however, in the attempt to link the UN’s Framework Convention on Climate Change (FCCC) and the Convention on Biological Conservation – the definition of REDD credits has been extended to include sustainable management of forests, forest conservation and the enhancement of forest carbon stocks, collectively known as REDD+.",2013-01-01,10.1007/978-94-007-4988-7_9,"['Kooten, G. Cornelis']","Climate Change, Climate Science and Economics",http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-4988-7_9,"(""agr*"") AND (""emissions offset credit"")",springer
954,Implementing Policy,"What policy instruments are available to governments wishing to mitigate climate change by reducing greenhouse gas emissions? What role can and should government play? How effective is government action likely to be in reducing emissions and mitigating climate change? These are the subjects of this chapter. One concern is that government intervention to correct the market failure associated with global emissions of greenhouse gases leads to policy failure that worsens rather than helps the situation. The strengths and weaknesses of the main instruments in the policy – regulation, carbon taxes, subsidies and emissions trading – are examined in detail. While mandates are regularly employed, market instruments (taxes and cap-and-trade) are shown to be more efficient. With respect to emissions trading, corruption can be endemic because of potential windfalls from accessing grandfathered permits, from profits accruing to financial intermediaries, and from sale of dubious certificates or carbon offsets. The European Union’s Emissions Trading System, failed efforts by the U.S. Congress to agree on carbon legislation, and other cases are discussed. Regulation and subsidies play a dominant role, and are often justified on the grounds that they create green jobs; however, mandates and subsidies have resulted in policy failure, high costs to the economy, fewer and not greater numbers of jobs, and little in the way of reduced emissions of greenhouse gases. Evidence provided in the chapter indicates that there is little appetite among the public for mitigating climate change if the costs of doing so are What policy instruments are available to governments wishing to mitigate climate change by reducing greenhouse gas emissions? What role can and should government play? How effective is government action likely to be in reducing emissions and mitigating climate change? These are the subjects of this chapter. One concern is that government intervention to correct the market failure associated with global emissions of greenhouse gases leads to policy failure that worsens rather than helps the situation. The strengths and weaknesses of the main instruments in the policy – regulation, carbon taxes, subsidies and emissions trading – are examined in detail. While mandates are regularly employed, market instruments (taxes and cap-and-trade) are shown to be more efficient. With respect to emissions trading, corruption can be endemic because of potential windfalls from accessing grandfathered permits, from profits accruing to financial intermediaries, and from sale of dubious certificates or carbon offsets. The European Union’s Emissions Trading System, failed efforts by the U.S. Congress to agree on carbon legislation, and other cases are discussed. Regulation and subsidies play a dominant role, and are often justified on the grounds that they create green jobs; however, mandates and subsidies have resulted in policy failure, high costs to the economy, fewer and not greater numbers of jobs, and little in the way of reduced emissions of greenhouse gases. Evidence provided in the chapter indicates that there is little appetite among the public for mitigating climate change if the costs of doing so are $1,000 or more; surveys of policy experts are even less optimistic in this regard.,000 or more; surveys of policy experts are even less optimistic in this regard.",2013-01-01,10.1007/978-94-007-4988-7_8,"['Kooten, G. Cornelis']","Climate Change, Climate Science and Economics",http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-4988-7_8,"(""agr*"") AND (""emissions offset credit"")",springer
955,"Economic Growth, Energy and Climate Change","Fossil fuels account for more than three-quarters of global energy consumption with another 10 % or more coming from renewable and waste sources that emit carbon dioxide. Energy consumption is projected to grow by some 50 % in the next quarter century, with the majority of this coming from sources that emit CO_2. While renewable sources of energy will play a greater role in the future, economic development will necessarily continue to rely on abundant and cheap fossil fuels, particularly coal and natural gas. In an era where climate change dominates the energy agenda, the prospects for expanding the use of CO_2-emitting sources of energy (oil, coal, natural gas) and relying more on hydroelectric, solar, wind, geothermal, biomass and nuclear sources are examined. Economic policies in many jurisdictions use a combination of mandates and subsidies to reduce overall reliance on fossil fuels and/or promote generation of electricity from renewable sources. Lessons from biofuel programs, and an economic analysis of feed-in tariffs for electricity, indicate that they are not only expensive but generally ineffective. Despite the setback caused by the near meltdown of the Fukushima nuclear power plant, it is argued that nuclear energy is a safe alternative to many other forms of energy, and that, given the rebound effect associated with conservation and physical limits to the use of renewable energy, a natural gas-to-nuclear scenario might not be unrealistic future course of action.",2013-01-01,10.1007/978-94-007-4988-7_10,"['Kooten, G. Cornelis']","Climate Change, Climate Science and Economics",http://link.springer.com/openurl/pdf?id=doi:10.1007/978-94-007-4988-7_10,"(""agr*"") AND (""emissions offset credit"")",springer
956,"Local causes, regional co-operation and global financing for environmental problems: the case of Southeast Asian Haze pollution","Lack of action on cross-border environmental problems in developing countries is often ascribed to gaps in local capacity and resources, failure of regional cooperation and lack of financial support from rich countries. Using the case of the Southeast Asian Haze pollution from forest and peat fires in Indonesia, we explore the challenges posed by environmental problems whose causes are closely linked to local development and livelihood strategies, and whose impacts are local, regional (haze) as well as global (carbon emissions). We assess whether there are real opportunities to implement effectively the recent Association of Southeast Asian Nations (ASEAN) Agreement on Transboundary Haze Pollution. To address the deep determinants behind haze pollution, we propose signatories to the Agreement refocus their efforts to controlling peat fires rather than to strive for a zero-burning regime. We also recommend a new approach to financing sustainable development based on rules and incentives, with a regional pool of funds, contributed by rich countries through the Global Environment Facility and countries in Southeast Asia.",2008-03-01,10.1007/s10784-007-9057-z,"['Tacconi, Luca', 'Jotzo, Frank', 'Grafton, R. Quentin']","International Environmental Agreements: Politics, Law and Economics",http://link.springer.com/openurl/pdf?id=doi:10.1007/s10784-007-9057-z,"(""agr*"") AND (""emissions offset credit"")",springer
957,"
Trade-Based Carbon Sequestration Accounting
","This article describes and illustrates an accounting method to assess and compare “early” carbon sequestration investments and trades on the basis of the number of standardized CO_2 emission offset credits they will provide. The “gold standard” for such credits is assumed to be a relatively riskless credit based on a CO_2 emission reduction that provides offsets against CO_2 emissions on a one-for-one basis. The number of credits associated with carbon sequestration needs to account for time, risk, durability, permanence, additionality, and other factors that future trade regulators will most certainly use to assign “official” credits to sequestration projects. The method that is presented here uses established principles of natural resource accounting and conventional rules of asset valuation to “score” projects. A review of 20 “early” voluntary United States based CO_2 offset trades that involve carbon sequestration reveals that the assumptions that buyers, sellers, brokers, and traders are using to characterize the economic potential of their investments and trades vary enormously. The article develops a “universal carbon sequestration credit scoring equation” and uses two of these trades to illustrate the sensitivity of trade outcomes to various assumptions about how future trade auditors are likely to “score” carbon sequestration projects in terms of their “equivalency” with CO_2 emission reductions. The article emphasizes the importance of using a standard credit scoring method that accounts for time and risk to assess and compare even unofficial prototype carbon sequestration trades. The scoring method illustrated in this article is a tool that can protect the integrity of carbon sequestration credit trading and can assist buyers and sellers in evaluating the real economic potential of prospective trades.",2004-08-01,10.1007/s00267-003-9112-7,"['King, Dennis M.']",Environmental Management,http://link.springer.com/openurl/pdf?id=doi:10.1007/s00267-003-9112-7,"(""agr*"") AND (""emissions offset credit"")",springer
958,"Land-Use Change, Carbon Sequestration and Poverty Alleviation","In this article, we seek to identify where the greatest potential for synergies between carbon sequestration and poverty alleviation lie and ways they can be enhanced. We assess the amount and eligibility criteria of sequestration payment sources to developing countries. Many land-use changes accessible to low-income land users are potentially competitive in a market where payments are likely to range between between $11 to $15 per carbon ton sequestered. We present a conceptual framework of land-use decision-making to assess the potential for sequestration adoption among the poor. The determinants of adoption vary according to the impact of adoption on the returns to productive factors in the absence of any payment for sequestration. Where sequestration leads to a decrease in returns, the key determinant is the return to sequestration and labor, which are driven by the potential sequestration supply per unit land area and labor-use requirements. When sequestration adoption leads to an increase in returns, barriers to land-use change are present, which is frequently the case for the poor. Adoption is determined by the capacity of sequestration payments to overcome constraints. Barrier removal may involve designing payments to overcome risk or investment constraints, or wider institutional reform. Sequestration values may be insufficient to cover costs of institutional reform, requiring incorporation into wider development programs. A survey of results from empirical studies lend support to the analysis. We conclude with an assessment of transaction cost impacts on sequestration adoption among the poor, and how these can be addressed.",2004-07-01,10.1007/s00267-003-9146-x,"['Lipper, Leslie', 'Cavatassi, Romina']",Environmental Management,http://link.springer.com/openurl/pdf?id=doi:10.1007/s00267-003-9146-x,"(""agr*"") AND (""emissions offset credit"")",springer
959,Exploring greenhouse gas mitigation strategies for agriculture in Africa: The case of Nigeria,"We used the Agriculture and Land Use National Greenhouse Gas Inventory Software to estimate the total greenhouse gas (GHG) emissions from the Nigerian agriculture sector in 2010. We went ahead to project future GHG emissions up to 2050. Two alternative GHG mitigation scenarios such as moderate (MS) and aggressive (AS) scenarios were developed and examined. Our results showed that total GHG emissions from Nigerian agriculture in 2010 were around 34.9 million tonnes of carbon dioxide equivalent. GHG emissions from livestock accounted for about 69.2 % of the total emissions, making it the largest source of GHG emissions in the sector. Nigeria’s agriculture GHG emissions are expected to increase by 94 % in 2050 relative to 2010 levels. Mitigation strategies in the Nigerian agriculture sector that do not compromise food security are limited. However, with the implementation of different GHG mitigation strategies in the alternative scenarios, emissions are expected to fall by around 13.2 % and 26.7 % by 2050 in the MS and AS, respectively, compared to the baseline scenario. While the mitigation potentials are significant, we argue that robust and dedicated policies are required to accelerate climate-smart agriculture in Nigeria.",2020-09-01,10.1007/s13280-019-01293-9,"['Dioha, Michael O.', 'Kumar, Atul']",Ambio,http://link.springer.com/openurl/pdf?id=doi:10.1007/s13280-019-01293-9,"(""agr*"") AND (""carbon offset trade"")",springer
960,"‘Sub-Prime’ Water, Low-Security Entitlements and Policy Challenges in Over-Allocated River Basins: the Case of the Murray–Darling Basin","Environmental policy is often implemented using market instruments. In some cases, including carbon taxing, the links between financial products and the environmental objectives, are transparent. In other cases, including water markets, the links are less transparent. In Australia’s Murray–Darling Basin (MDB), financial water products are known as ‘entitlements’, and are similar to traditional financial products, such as shares. The Australian water market includes ‘Low Security’ entitlements, which are similar to ‘sub-prime’ mortgage bonds because they are unlikely to yield an amount equal to their financial worth. Nearly half the water purchased under the Murray–Darling Basin Plan for environmental purposes is ‘Low Security’. We suggest that the current portfolio of water held by the Australian Government for environmental purposes reflects the mortgage market in the lead-up to the global financial crisis. Banks assumed that the future value of the mortgage market would reflect past trends. Similarly, it is assumed that the future value of water products will reflect past trends, without considering climate change. Historic records of allocations to ‘Low Security’ entitlements in the MDB suggest that, in the context of climate change, the Basin Plan water portfolio may fall short of the target annual average yield of 2075 GL by 511 GL. We recommend adopting finance sector methods including ‘hedging’ ‘Low Security’ entitlements by purchasing an additional 322–2755 GL of ‘Low Security’, or 160–511 GL of ‘High Security’ entitlements. Securing reliable environmental water is a global problem. Finance economics present opportunities for increasing the reliability of environmental flows.",2020-08-01,10.1007/s00267-020-01303-7,"['Moore, Harriet Elizabeth', 'Rutherfurd, Ian D.', 'Peel, Murray C.', 'Horne, Avril']",Environmental Management,http://link.springer.com/openurl/pdf?id=doi:10.1007/s00267-020-01303-7,"(""agr*"") AND (""carbon offset trade"")",springer
961,Potential for large-scale CO_2 removal via enhanced rock weathering with croplands,"A detailed assessment of the techno-economic potential of enhanced rock weathering on croplands identifies national CO_2 removal potentials, costs and engineering challenges if it were to be scaled up to help meet ambitious global CO_2 removal targets. Enhanced silicate rock weathering (ERW), deployable with croplands, has potential use for atmospheric carbon dioxide (CO_2) removal (CDR), which is now necessary to mitigate anthropogenic climate change^ 1 . ERW also has possible co-benefits for improved food and soil security, and reduced ocean acidification^ 2 – 4 . Here we use an integrated performance modelling approach to make an initial techno-economic assessment for 2050, quantifying how CDR potential and costs vary among nations in relation to business-as-usual energy policies and policies consistent with limiting future warming to 2 degrees Celsius^ 5 . China, India, the USA and Brazil have great potential to help achieve average global CDR goals of 0.5 to 2 gigatonnes of carbon dioxide (CO_2) per year with extraction costs of approximately US$80–180 per tonne of CO_2. These goals and costs are robust, regardless of future energy policies. Deployment within existing croplands offers opportunities to align agriculture and climate policy. However, success will depend upon overcoming political and social inertia to develop regulatory and incentive frameworks. We discuss the challenges and opportunities of ERW deployment, including the potential for excess industrial silicate materials (basalt mine overburden, concrete, and iron and steel slag) to obviate the need for new mining, as well as uncertainties in soil weathering rates and land–ocean transfer of weathered products.",2020-07-09,10.1038/s41586-020-2448-9,"['Beerling, David J.', 'Kantzas, Euripides P.', 'Lomas, Mark R.', 'Wade, Peter', 'Eufrasio, Rafael M.', 'Renforth, Phil', 'Sarkar, Binoy', 'Andrews, M. Grace', 'James, Rachael H.', 'Pearce, Christopher R.', 'Mercure, Jean-Francois', 'Pollitt, Hector', 'Holden, Philip B.', 'Edwards, Neil R.', 'Khanna, Madhu', 'Koh, Lenny', 'Quegan, Shaun', 'Pidgeon, Nick F.', 'Janssens, Ivan A.', 'Hansen, James', 'Banwart, Steven A.']",Nature,https://www.nature.com/articles/s41586-020-2448-9.pdf,"(""agr*"") AND (""carbon offset trade"")",springer
962,Hypothesis for a Risk Cost of Carbon: Revising the Externalities and Ethics of Climate Change,"Standard market-based policies for addressing climate change mostly aim to internalize the Social Cost of Carbon (SCC) into the economy with either carbon taxes or cap-and-trade schemes. Standard policies are failing to manage the systemic risk of dangerous-to-catastrophic climate change for a variety of reasons. In this chapter we clarify and expand on a market hypothesis that argues for a second externalized cost of carbon, called the Risk Cost of Carbon (RCC), as the appropriate solution to this risk problem. The combination of the SCC and RCC creates a new paradigm of complementary market pricing for the dual objectives of improving market efficiency and managing systemic risk, respectively. Introducing the RCC addresses the problem of how to decouple gross world product (GWP) from carbon emissions and how to solve the paradox of time discounting under systemic risk. Subsequently the RCC could have major implications for climate change economics, public policy, and sustainability theory. The hypothesis is novel by taking into consideration both the entropy and the mass of the carbon budget. The RCC is technically defined as the cost of imposing risk tolerances (%) on climate mitigation objectives, and it has units of USD per tonne of carbon dioxide equivalent (CO_2e) mitigated. The RCC is internalized with a “global carbon reward” that manages a trade-off between market efficiency and climate certainty. The carbon reward is issued as a parallel currency and with an exchange rate that is managed by central banks over a rolling 100-year planning horizon. A key recommendation is to test the hypothesis with experiments.",2019-01-01,10.1007/978-3-030-03152-7_8,"['Chen, Delton B.', 'Beek, Joel', 'Cloud, Jonathan']",Understanding Risks and Uncertainties in Energy and Climate Policy,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-03152-7_8,"(""agr*"") AND (""carbon offset trade"")",springer
963,Commodities,"This chapter reviews empirical and theoretical developments related to the political economy of commodities. It reflects on recent trends in international political economy (IPE) scholarship on commodities and demonstrates that global commodity politics are ripe for future research. The chapter first explores what the end of bipolarity and the rise of the BRICS mean for commodity production, trade and consumption, as well as for global development. It then explores new trends in contemporary IPE scholarship on commodities, including a renewed interest in illicit and informal commodity flows, research on the financialization of commodities and a growing body of work on transnational governance and commodities. Thereafter, several emerging areas of study are introduced before concluding with a brief discussion of topics warranting further attention from IPE scholars moving forward.",2019-01-01,10.1057/978-1-137-45443-0_35,"['Sneyd, Adam', 'Enns, Charis']",The Palgrave Handbook of Contemporary International Political Economy,http://link.springer.com/openurl/pdf?id=doi:10.1057/978-1-137-45443-0_35,"(""agr*"") AND (""carbon offset trade"")",springer
964,Emissions Trading,"Climate change is being exacerbated by the emissions of globe-warming greenhouse gases (GHGs) as a consequence of economic activities associated with energy, industry, transportation, and land use. From an economic viewpoint, the Earth’s climate is a public good , and pollution a negative externality ; such change therefore constitutes market failure . Controlling air pollution by utilizing economic mechanisms represents an important change in environmental thinking – literally a paradigm shift away from historical command-and-control engineering systems. Today, this approach is being utilized to mitigate the emissions of GHGs, addressing the pollution externality by putting a price on carbon. The international carbon market, largely developed as a result of the Kyoto Protocol, had a total value of $176 billion in 2011, but it has decreased significantly in recent years. With the addition of China and other national and subnational programs, however, it is expected that it will once again increase, as a larger and larger portion of emitted GHGs come under such regulatory purview. Historically, the largest component of that market has been the European Union’s Emission Trading Scheme (EU ETS), which represents a regional market designed first to assist Europe in achieving compliance with the Protocol’s requirements, and now is a cornerstone of the EU’s policy to combat climate change. It also has links to the Protocol’s project-based mechanisms, the Clean Development Mechanism (CDM), and Joint Implementation (JI), which help minimize compliance costs. China’s nascent market – currently seven pilot schemes, but expected to become a national program in 2016 – should ultimately become twice as large as the EU ETS. Other carbon markets created in numerous countries (e.g., the U.S., Japan, South Korea, etc.) as well as a voluntary market are also expected to make significant contributions. This chapter discusses the structure of these emissions trading carbon markets, the theory behind their development, their historical evolution, ongoing governance challenges, and future prospects.",2017-01-01,10.1007/978-3-319-14409-2_8,"['Raufer, Roger', 'Coussy, Paula', 'Freeman, Carla', 'Iyer, Sudha']",Handbook of Climate Change Mitigation and Adaptation,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-14409-2_8,"(""agr*"") AND (""carbon offset trade"")",springer
